LOCATION,SUBJECT,TIME,NIVEAU_ECRIT
NLD,BOY,2003,503.0
NLD,BOY,2006,495.0
NLD,BOY,2009,496.0
NLD,BOY,2012,498.317
NLD,BOY,2015,491.0
NLD,BOY,2018,470.0
NLD,GIRL,2003,524.0
NLD,GIRL,2006,519.0
NLD,GIRL,2009,521.0
NLD,GIRL,2012,524.761
NLD,GIRL,2015,515.0
NLD,GIRL,2018,499.0
NZL,BOY,2000,507.0
NZL,BOY,2003,508.0
NZL,BOY,2006,502.0
NZL,BOY,2009,499.0
NZL,BOY,2012,495.365
NZL,BOY,2015,493.0
NZL,BOY,2018,491.0
NZL,GIRL,2000,553.0
NZL,GIRL,2003,535.0
NZL,GIRL,2006,539.0
NZL,GIRL,2009,544.0
NZL,GIRL,2012,529.765
NZL,GIRL,2015,526.0
NZL,GIRL,2018,520.0
NOR,BOY,2000,486.0
NOR,BOY,2003,475.0
NOR,BOY,2006,462.0
NOR,BOY,2009,480.0
NOR,BOY,2012,481.284
NOR,BOY,2015,494.0
NOR,BOY,2018,476.0
NOR,GIRL,2000,529.0
NOR,GIRL,2003,525.0
NOR,GIRL,2006,508.0
NOR,GIRL,2009,527.0
NOR,GIRL,2012,527.771
NOR,GIRL,2015,533.0
NOR,GIRL,2018,523.0
POL,BOY,2000,461.0
POL,BOY,2003,477.0
POL,BOY,2006,487.0
POL,BOY,2009,476.0
POL,BOY,2012,496.706
POL,BOY,2015,491.0
POL,BOY,2018,495.0
POL,GIRL,2000,497.0
POL,GIRL,2003,516.0
POL,GIRL,2006,528.0
POL,GIRL,2009,525.0
POL,GIRL,2012,538.687
POL,GIRL,2015,521.0
POL,GIRL,2018,528.0
PRT,BOY,2000,458.0
PRT,BOY,2003,459.0
PRT,BOY,2006,455.0
PRT,BOY,2009,470.0
PRT,BOY,2012,468.39
PRT,BOY,2015,490.0
PRT,BOY,2018,480.0
PRT,GIRL,2000,482.0
PRT,GIRL,2003,495.0
PRT,GIRL,2006,488.0
PRT,GIRL,2009,508.0
PRT,GIRL,2012,507.562
PRT,GIRL,2015,507.0
PRT,GIRL,2018,504.0
SVK,BOY,2003,453.0
SVK,BOY,2006,446.0
SVK,BOY,2009,452.0
SVK,BOY,2012,444.081
SVK,BOY,2015,435.0
SVK,BOY,2018,441.0
SVK,GIRL,2003,486.0
