LOCATION,SUBJECT,TIME,NIVEAU_SCIENCE
ISL,TOT,2015,473.0
ISL,TOT,2018,475.0
IRL,TOT,2006,508.0
IRL,TOT,2009,508.0
IRL,TOT,2012,522.0
IRL,TOT,2015,503.0
IRL,TOT,2018,496.0
ITA,TOT,2006,475.0
ITA,TOT,2009,489.0
ITA,TOT,2012,494.0
ITA,TOT,2015,481.0
ITA,TOT,2018,468.0
JPN,TOT,2006,531.0
JPN,TOT,2009,539.0
JPN,TOT,2012,547.0
JPN,TOT,2015,538.0
JPN,TOT,2018,529.0
KOR,TOT,2006,522.0
KOR,TOT,2009,538.0
KOR,TOT,2012,538.0
KOR,TOT,2015,516.0
KOR,TOT,2018,519.0
LUX,TOT,2006,486.0
LUX,TOT,2009,484.0
LUX,TOT,2012,491.0
LUX,TOT,2015,483.0
LUX,TOT,2018,477.0
MEX,TOT,2006,410.0
MEX,TOT,2009,416.0
MEX,TOT,2012,415.0
MEX,TOT,2015,416.0
MEX,TOT,2018,419.0
NLD,TOT,2006,525.0
NLD,TOT,2009,522.0
NLD,TOT,2012,522.0
NLD,TOT,2015,509.0
NLD,TOT,2018,503.0
NZL,TOT,2006,530.0
NZL,TOT,2009,532.0
NZL,TOT,2012,516.0
NZL,TOT,2015,513.0
NZL,TOT,2018,508.0
NOR,TOT,2006,487.0
NOR,TOT,2009,500.0
NOR,TOT,2012,495.0
NOR,TOT,2015,498.0
NOR,TOT,2018,490.0
POL,TOT,2006,498.0
POL,TOT,2009,508.0
POL,TOT,2012,526.0
POL,TOT,2015,501.0
POL,TOT,2018,511.0
PRT,TOT,2006,474.0
PRT,TOT,2009,493.0
PRT,TOT,2012,489.0
PRT,TOT,2015,501.0
PRT,TOT,2018,492.0
SVK,TOT,2006,488.0
SVK,TOT,2009,490.0
SVK,TOT,2012,471.0
SVK,TOT,2015,461.0
SVK,TOT,2018,464.0
ESP,TOT,2006,488.0
ESP,TOT,2009,488.0
ESP,TOT,2012,496.0
ESP,TOT,2015,493.0
ESP,TOT,2018,483.0
SWE,TOT,2006,503.0
SWE,TOT,2009,495.0
SWE,TOT,2012,485.0
SWE,TOT,2015,493.0
SWE,TOT,2018,499.0
CHE,TOT,2006,512.0
CHE,TOT,2009,517.0
CHE,TOT,2012,515.0
CHE,TOT,2015,506.0
CHE,TOT,2018,495.0
TUR,TOT,2006,424.0
TUR,TOT,2009,454.0
TUR,TOT,2012,463.0
TUR,TOT,2015,425.0
TUR,TOT,2018,468.0
GBR,TOT,2006,515.0
GBR,TOT,2009,514.0
GBR,TOT,2012,514.0
GBR,TOT,2015,509.0
GBR,TOT,2018,505.0
USA,TOT,2006,489.0
USA,TOT,2009,502.0
USA,TOT,2012,497.0
USA,TOT,2015,496.0
USA,TOT,2018,502.0
BRA,TOT,2006,390.0
BRA,TOT,2009,405.0
BRA,TOT,2012,402.0
BRA,TOT,2015,401.0
BRA,TOT,2018,404.0
CHL,TOT,2006,438.0
CHL,TOT,2009,447.0
CHL,TOT,2012,445.0
CHL,TOT,2015,447.0
CHL,TOT,2018,444.0
EST,TOT,2006,531.0
EST,TOT,2009,528.0
EST,TOT,2012,541.0
EST,TOT,2015,534.0
EST,TOT,2018,530.0
IDN,TOT,2006,393.0
IDN,TOT,2009,383.0
IDN,TOT,2012,382.0
IDN,TOT,2015,403.0
IDN,TOT,2018,396.0
ISR,TOT,2006,454.0
ISR,TOT,2009,455.0
ISR,TOT,2012,470.0
ISR,TOT,2015,467.0
ISR,TOT,2018,462.0
LVA,TOT,2006,490.0
LVA,TOT,2009,494.0
LVA,TOT,2012,502.0
LVA,TOT,2015,490.0
LVA,TOT,2018,487.0
RUS,TOT,2006,478.0
RUS,TOT,2009,486.0
RUS,TOT,2012,487.0
RUS,TOT,2018,478.0
SGP,BOY,2015,559.0
SGP,GIRL,2015,552.0
SVN,TOT,2006,519.0
SVN,TOT,2009,512.0
SVN,TOT,2012,514.0
SVN,TOT,2015,513.0
SVN,TOT,2018,507.0
COL,TOT,2015,416.0
COL,TOT,2018,413.0
COL,BOY,2015,421.0
COL,BOY,2018,420.0
COL,GIRL,2015,411.0
COL,GIRL,2018,407.0
HKG,TOT,2015,523.0
HKG,BOY,2015,523.0
HKG,GIRL,2015,524.0
PER,TOT,2015,397.0
PER,BOY,2015,402.0
PER,GIRL,2015,392.0
SGP,TOT,2015,556.0
TWN,TOT,2015,532.0
TWN,BOY,2015,535.0
TWN,GIRL,2015,530.0
MAC,TOT,2015,529.0
MAC,BOY,2015,525.0
MAC,GIRL,2015,532.0
CRI,TOT,2018,416.0
CRI,BOY,2018,420.0
CRI,GIRL,2018,411.0
LTU,TOT,2018,482.0
LTU,BOY,2018,479.0
LTU,GIRL,2018,485.0
