LOCATION,SUBJECT,TIME,NIVEAU_MATH
EST,BOY,2006,515.0
EST,BOY,2009,516.0
EST,BOY,2012,523.214
EST,BOY,2015,522.0
EST,GIRL,2006,514.0
EST,GIRL,2009,508.0
EST,GIRL,2012,517.93
EST,GIRL,2015,517.0
IDN,BOY,2003,362.0
IDN,BOY,2006,399.0
IDN,BOY,2009,371.0
IDN,BOY,2012,377.376
IDN,BOY,2015,385.0
IDN,GIRL,2003,358.0
IDN,GIRL,2006,382.0
IDN,GIRL,2009,372.0
IDN,GIRL,2012,372.785
IDN,GIRL,2015,387.0
ISR,BOY,2006,448.0
ISR,BOY,2009,451.0
ISR,BOY,2012,472.398
ISR,BOY,2015,474.0
ISR,GIRL,2006,436.0
ISR,GIRL,2009,443.0
ISR,GIRL,2012,460.749
ISR,GIRL,2015,466.0
RUS,BOY,2003,473.0
RUS,BOY,2009,469.0
RUS,BOY,2012,481.394
RUS,BOY,2015,497.0
RUS,GIRL,2003,463.0
RUS,GIRL,2009,467.0
RUS,GIRL,2012,482.944
RUS,GIRL,2015,491.0
SVN,BOY,2006,507.0
SVN,BOY,2009,502.0
SVN,BOY,2012,502.748
SVN,BOY,2015,512.0
SVN,GIRL,2006,502.0
SVN,GIRL,2009,501.0
SVN,GIRL,2012,499.387
SVN,GIRL,2015,508.0
LVA,BOY,2015,481.0
LVA,GIRL,2015,483.0
AUS,TOT,2003,524.0
AUS,TOT,2006,520.0
AUS,TOT,2009,514.0
AUS,TOT,2012,504.0
AUS,TOT,2015,494.0
AUT,TOT,2003,506.0
AUT,TOT,2006,505.0
AUT,TOT,2012,506.0
AUT,TOT,2015,497.0
BEL,TOT,2003,529.0
BEL,TOT,2006,520.0
BEL,TOT,2009,515.0
BEL,TOT,2012,515.0
BEL,TOT,2015,507.0
CAN,TOT,2003,532.0
CAN,TOT,2006,527.0
CAN,TOT,2009,527.0
CAN,TOT,2012,518.0
CAN,TOT,2015,516.0
CZE,TOT,2003,516.0
CZE,TOT,2006,510.0
CZE,TOT,2009,493.0
CZE,TOT,2012,499.0
CZE,TOT,2015,492.0
DNK,TOT,2003,514.0
DNK,TOT,2006,513.0
DNK,TOT,2009,503.0
DNK,TOT,2012,500.0
DNK,TOT,2015,511.0
FIN,TOT,2003,544.0
FIN,TOT,2006,548.0
FIN,TOT,2009,541.0
FIN,TOT,2012,519.0
FIN,TOT,2015,511.0
FRA,TOT,2003,511.0
FRA,TOT,2006,496.0
FRA,TOT,2009,497.0
FRA,TOT,2012,495.0
FRA,TOT,2015,493.0
DEU,TOT,2003,503.0
DEU,TOT,2006,504.0
DEU,TOT,2009,513.0
DEU,TOT,2012,514.0
DEU,TOT,2015,506.0
GRC,TOT,2003,445.0
GRC,TOT,2006,459.0
GRC,TOT,2009,466.0
GRC,TOT,2012,453.0
GRC,TOT,2015,454.0
HUN,TOT,2003,490.0
HUN,TOT,2006,491.0
HUN,TOT,2009,490.0
HUN,TOT,2012,477.0
HUN,TOT,2015,477.0
ISL,TOT,2003,515.0
ISL,TOT,2006,506.0
ISL,TOT,2009,507.0
ISL,TOT,2012,493.0
ISL,TOT,2015,488.0
IRL,TOT,2003,503.0
IRL,TOT,2006,501.0
IRL,TOT,2009,487.0
IRL,TOT,2012,501.0
IRL,TOT,2015,504.0
ITA,TOT,2003,466.0
ITA,TOT,2006,462.0
ITA,TOT,2009,483.0
ITA,TOT,2012,485.0
ITA,TOT,2015,490.0
JPN,TOT,2003,534.0
JPN,TOT,2006,523.0
JPN,TOT,2009,529.0
JPN,TOT,2012,536.0
JPN,TOT,2015,532.0
KOR,TOT,2003,542.0
KOR,TOT,2006,547.0
KOR,TOT,2009,546.0
KOR,TOT,2012,554.0
KOR,TOT,2015,524.0
LUX,TOT,2003,493.0
LUX,TOT,2006,490.0
LUX,TOT,2009,489.0
LUX,TOT,2012,490.0
LUX,TOT,2015,486.0
MEX,TOT,2003,385.0
MEX,TOT,2006,406.0
MEX,TOT,2009,419.0
MEX,TOT,2012,413.0
MEX,TOT,2015,408.0
NLD,TOT,2003,538.0
NLD,TOT,2006,531.0
NLD,TOT,2009,526.0
NLD,TOT,2012,523.0
NLD,TOT,2015,512.0
NZL,TOT,2003,523.0
NZL,TOT,2006,522.0
NZL,TOT,2009,519.0
NZL,TOT,2012,500.0
NZL,TOT,2015,495.0
NOR,TOT,2003,495.0
NOR,TOT,2006,490.0
NOR,TOT,2009,498.0
NOR,TOT,2012,489.0
NOR,TOT,2015,502.0
POL,TOT,2003,490.0
POL,TOT,2006,495.0
POL,TOT,2009,495.0
POL,TOT,2012,518.0
POL,TOT,2015,504.0
PRT,TOT,2003,466.0
PRT,TOT,2006,466.0
PRT,TOT,2009,487.0
PRT,TOT,2012,487.0
PRT,TOT,2015,492.0
SVK,TOT,2003,498.0
SVK,TOT,2006,492.0
SVK,TOT,2009,497.0
SVK,TOT,2012,482.0
SVK,TOT,2015,475.0
ESP,TOT,2003,485.0
ESP,TOT,2006,480.0
ESP,TOT,2009,483.0
ESP,TOT,2012,484.0
ESP,TOT,2015,486.0
SWE,TOT,2003,509.0
SWE,TOT,2006,502.0
SWE,TOT,2009,494.0
SWE,TOT,2012,478.0
SWE,TOT,2015,494.0
CHE,TOT,2003,527.0
CHE,TOT,2006,530.0
CHE,TOT,2009,534.0
CHE,TOT,2012,531.0
CHE,TOT,2015,521.0
TUR,TOT,2003,423.0
TUR,TOT,2006,424.0
TUR,TOT,2009,445.0
TUR,TOT,2012,448.0
TUR,TOT,2015,420.0
GBR,TOT,2006,495.0
GBR,TOT,2009,492.0
GBR,TOT,2012,494.0
GBR,TOT,2015,492.0
USA,TOT,2003,483.0
USA,TOT,2006,474.0
USA,TOT,2009,487.0
USA,TOT,2012,481.0
USA,TOT,2015,470.0
BRA,TOT,2003,356.0
BRA,TOT,2006,370.0
BRA,TOT,2009,386.0
BRA,TOT,2012,389.0
BRA,TOT,2015,377.0
CHL,TOT,2006,411.0
CHL,TOT,2009,421.0
CHL,TOT,2012,423.0
CHL,TOT,2015,423.0
EST,TOT,2006,515.0
EST,TOT,2009,512.0
EST,TOT,2012,521.0
EST,TOT,2015,520.0
IDN,TOT,2003,360.0
IDN,TOT,2006,391.0
IDN,TOT,2009,371.0
IDN,TOT,2012,375.0
IDN,TOT,2015,386.0
ISR,TOT,2006,442.0
ISR,TOT,2009,447.0
ISR,TOT,2012,466.0
ISR,TOT,2015,470.0
LVA,TOT,2003,483.0
LVA,TOT,2006,486.0
LVA,TOT,2009,482.0
LVA,TOT,2012,491.0
